id|url|title|summary|date_published|reader|writer|reader_wikidata|writer_wikidata
sterling-holywhitemountain-reads-roberto-bolano|https://www.newyorker.com/podcast/fiction/sterling-holywhitemountain-reads-roberto-bolano|Sterling HolyWhiteMountain Reads Roberto Bolaño|The author joins Deborah Treisman to read and discuss the story “Labyrinth,” which was published in a 2012 issue of The New Yorker.|2024-02-01|Sterling Holywhitemountain|Roberto Bolaño||Q297532
rivka-galchen-reads-aleksandar-hemon|https://www.newyorker.com/podcast/fiction/rivka-galchen-reads-aleksandar-hemon|Rivka Galchen Reads Aleksandar Hemon|The author joins Deborah Treisman to read and discuss the story “The Bees, Part 1,” which was published in a 2002 issue of The New Yorker.|2024-01-01|Rivka Galchen|Aleksandar Hemon|Q2265147|Q738114
teju-cole-reads-anne-carson|https://www.newyorker.com/podcast/fiction/teju-cole-reads-anne-carson|Teju Cole Reads Anne Carson|The author joins Deborah Treisman to read and discuss the story “1=1,” which was published in a 2016 issue of The New Yorker.|2023-12-01|Teju Cole|Anne Carson|Q2401060|
margaret-atwood-reads-mavis-gallant-live|https://www.newyorker.com/podcast/fiction/margaret-atwood-reads-mavis-gallant-live|Margaret Atwood Reads Mavis Gallant, Live|The author joins Deborah Treisman live at the Hot Docs podcast festival to read and discuss the story “Varieties of Exile,” which was published in a 1976 issue of The New Yorker.|2023-11-01|Margaret Atwood|Mavis Gallant|Q183492|Q2550824
lucinda-rosenfeld-reads-annie-ernaux|https://www.newyorker.com/podcast/fiction/lucinda-rosenfeld-reads-annie-ernaux|Lucinda Rosenfeld Reads Annie Ernaux|The author joins Deborah Treisman to read and discuss the story “Returns,” which was published in a 2022 issue of The New Yorker.|2023-10-01|Lucinda Rosenfeld|Annie Ernaux|Q6697391|Q1153825
andrew-ohagan-reads-donald-antrim|https://www.newyorker.com/podcast/fiction/andrew-ohagan-reads-donald-antrim|Andrew O’Hagan Reads Donald Antrim|The author joins Deborah Treisman to read and discuss the story “An Actor Prepares,” which was published in a 1999 issue of the magazine.|2023-09-01|Andrew O’Hagan|Donald Antrim|Q4758145|Q714153
david-means-reads-lorrie-moore|https://www.newyorker.com/podcast/fiction/david-means-reads-lorrie-moore|David Means Reads Lorrie Moore|The author joins Deborah Treisman to read and discuss the story “Face Time,” which was published in a 2020 issue of the magazine.|2023-08-01|David Means|Lorrie Moore|Q5237471|Q204168
george-saunders-reads-claire-keegan|https://www.newyorker.com/podcast/fiction/george-saunders-reads-claire-keegan|George Saunders Discusses Claire Keegan|The author joins Deborah Treisman to discuss the story “So Late in the Day,” which was published in a 2022 issue of the magazine.|2023-07-01|George Saunders|Claire Keegan|Q1251926|Q278917
ottessa-moshfegh-reads-david-means|https://www.newyorker.com/podcast/fiction/ottessa-moshfegh-reads-david-means|Ottessa Moshfegh Reads David Means|The author joins Deborah Treisman to read and discuss the story “Two Ruminations on a Homeless Brother,” which was published in a 2017 issue of the magazine.|2023-06-01|Ottessa Moshfegh|David Means|Q20707944|Q5237471
jonas-hassen-khemiri-reads-vladimir-nabokov|https://www.newyorker.com/podcast/fiction/jonas-hassen-khemiri-reads-vladimir-nabokov|Jonas Hassen Khemiri Reads Vladimir Nabokov|The author joins Deborah Treisman to read and discuss the story “A Slice of Life,” which was published in a 1976 issue of the magazine.|2023-05-01|Jonas Hassen Khemiri|Vladimir Nabokov|Q1475327|Q36591
said-sayrafiezadeh-reads-samuel-beckett|https://www.newyorker.com/podcast/fiction/said-sayrafiezadeh-reads-samuel-beckett|Saïd Sayrafiezadeh Reads Samuel Beckett|The author joins Deborah Treisman to read and discuss the story “Ill Seen Ill Said,” which was published in a 1981 issue of the magazine.|2023-04-01|Saïd Sayrafiezadeh|Samuel Beckett|Q2212143|Q37327
claire-louise-bennett-reads-maeve-brennan|https://www.newyorker.com/podcast/fiction/claire-louise-bennett-reads-maeve-brennan|Claire-Louise Bennett Reads Maeve Brennan|The author joins Deborah Treisman to read and discuss the story “Family Walls,” which was published in a 1973 issue of the magazine.|2023-03-07|Claire-Louise Bennett|Maeve Brennan|Q55828246|Q1883652
clare-sestanovich-reads-alice-munro|https://www.newyorker.com/podcast/fiction/clare-sestanovich-reads-alice-munro|Clare Sestanovich Reads Alice Munro|The author joins Deborah Treisman to read and discuss the story “The Moons of Jupiter,” which was published in a 1978 issue of the magazine.|2023-02-01|Clare Sestanovich|Alice Munro||Q234819
gary-shteyngart-reads-weike-wang|https://www.newyorker.com/podcast/fiction/gary-shteyngart-reads-weike-wang|Gary Shteyngart Reads Weike Wang|The author joins Deborah Treisman to read and discuss the story “Omakase,” which was published in a 2018 issue of the magazine.|2023-01-02|Gary Shteyngart|Weike Wang|Q1334139|Q53411106
ling-ma-reads-nicole-krauss|https://www.newyorker.com/podcast/fiction/ling-ma-reads-nicole-krauss|Ling Ma Reads Nicole Krauss|The author joins Deborah Treisman to read and discuss the story “Seeing Ershadi,” which was published in a 2018 issue of the magazine.|2022-12-01|Ling Ma|Nicole Krauss|Q56427737|Q466431
jamil-jan-kochai-reads-yiyun-li|https://www.newyorker.com/podcast/fiction/jamil-jan-kochai-reads-yiyun-li|Jamil Jan Kochai Reads Yiyun Li|The author joins Deborah Treisman to read and discuss the story “All Will Be Well,” which was published in a 2019 issue of the magazine.|2022-11-01|Jamil Jan Kochai|Yiyun Li|Q111967234|Q460088
