wid|person|personLabel|photo|genderLabel|citizenshipLabel|sitelink|lccn|description|birth|pPrize
Q239910|http://www.wikidata.org/entity/Q239910|Shirley Jackson||female|United States of America|https://en.wikipedia.org/wiki/Shirley_Jackson|n79125801|novelist, short story writer|1916-12-14T00:00:00Z|false
Q241215|http://www.wikidata.org/entity/Q241215|Janet Frame||female|New Zealand|https://en.wikipedia.org/wiki/Janet_Frame|n82023868|New Zealand author|1924-08-28T00:00:00Z|false
Q233956|http://www.wikidata.org/entity/Q233956|Muriel Spark||female|United Kingdom|https://en.wikipedia.org/wiki/Muriel_Spark|n80038438|Scottish writer|1918-02-01T00:00:00Z|false
Q275601|http://www.wikidata.org/entity/Q275601|Jamaica Kincaid||female|United States of America|https://en.wikipedia.org/wiki/Jamaica_Kincaid|n83151180|Antiguan-American novelist, essayist, gardener, and gardening writer|1949-05-25T00:00:00Z|false
Q2212143|http://www.wikidata.org/entity/Q2212143|Saïd Sayrafiezadeh|http://commons.wikimedia.org/wiki/Special:FilePath/Said-Sayrafiezadeh-1.jpg|male|United States of America|https://en.wikipedia.org/wiki/Sa%C3%AFd_Sayrafiezadeh|n2013032106|American writer|1968-01-01T00:00:00Z|false
Q2550824|http://www.wikidata.org/entity/Q2550824|Mavis Gallant|http://commons.wikimedia.org/wiki/Special:FilePath/Raphie%20Etgar-%20%22Across%20the%20Bridge%22%20by%20Mavis%20Gallant%20%28Book%20cover%29.jpg|female|Canada|https://en.wikipedia.org/wiki/Mavis_Gallant|n79062728|Canadian writer|1922-08-11T00:00:00Z|false
Q234819|http://www.wikidata.org/entity/Q234819|Alice Munro|http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Munro.jpg|female|Canada|https://en.wikipedia.org/wiki/Alice_Munro|n79063498|Canadian short story writer|1931-07-10T00:00:00Z|false
Q278953|http://www.wikidata.org/entity/Q278953|A. M. Homes|http://commons.wikimedia.org/wiki/Special:FilePath/A%20M%20Homes%20by%20David%20Shankbone.jpg|female|United States of America|https://en.wikipedia.org/wiki/A._M._Homes|n87921175|novelist and memoirst from the United States|1961-12-18T00:00:00Z|false
Q295431|http://www.wikidata.org/entity/Q295431|Julian Barnes||male|United Kingdom|https://en.wikipedia.org/wiki/Julian_Barnes|n80019845|English writer|1946-01-19T00:00:00Z|false
Q1655990|http://www.wikidata.org/entity/Q1655990|Nathan Englander|http://commons.wikimedia.org/wiki/Special:FilePath/Nathan%20Englander.jpg|male|United States of America|https://en.wikipedia.org/wiki/Nathan_Englander|n98075379|American short story writer and novelist|1970-01-01T00:00:00Z|false
Q2619779|http://www.wikidata.org/entity/Q2619779|Reynolds Price||male|United States of America|https://en.wikipedia.org/wiki/Reynolds_Price|n79132486|American writer|1933-02-01T00:00:00Z|false
Q1836356|http://www.wikidata.org/entity/Q1836356|Ben Lerner|http://commons.wikimedia.org/wiki/Special:FilePath/Ben-lerner1.JPG|male|United States of America|https://en.wikipedia.org/wiki/Ben_Lerner|n2004038845|poet|1979-02-04T00:00:00Z|false
Q1805285|http://www.wikidata.org/entity/Q1805285|Allan Gurganus||male|United States of America|https://en.wikipedia.org/wiki/Allan_Gurganus|n88141863|American novelist and story writer|1947-06-11T00:00:00Z|false
Q1395915|http://www.wikidata.org/entity/Q1395915|James Salter|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Salter%20at%20Tulane%20Lecturn%202010.jpg|male|United States of America|https://en.wikipedia.org/wiki/James_Salter|n78094026|American novelist and short-story writer|1925-06-10T00:00:00Z|false
Q141114|http://www.wikidata.org/entity/Q141114|Sergei Dovlatov||male|Soviet Union|https://en.wikipedia.org/wiki/Sergei_Dovlatov|n79068738|Soviet/American writer|1941-09-03T00:00:00Z|false
Q316607|http://www.wikidata.org/entity/Q316607|Jonathan Franzen|http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Franzen%202011%20Shankbone%202.JPG|male|United States of America|https://en.wikipedia.org/wiki/Jonathan_Franzen|n88015344|American writer|1959-08-17T00:00:00Z|false
Q36591|http://www.wikidata.org/entity/Q36591|Vladimir Nabokov|http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Nabokov%201973.jpg|male|United States of America|https://en.wikipedia.org/wiki/Vladimir_Nabokov|n81015312|Russian-American novelist, lepidopterist, professor|1899-04-22T00:00:00Z|false
Q125598|http://www.wikidata.org/entity/Q125598|Peter Stamm|http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Stamm%20-%20salon%20du%20livre%20Gen%C3%A8ve%202012.jpg|male|Switzerland|https://en.wikipedia.org/wiki/Peter_Stamm|no99050544|Swiss writer|1963-01-18T00:00:00Z|false
Q105756|http://www.wikidata.org/entity/Q105756|John Updike|http://commons.wikimedia.org/wiki/Special:FilePath/Updike%2029.jpg|male|United States of America|https://en.wikipedia.org/wiki/John_Updike|n79018616|American novelist, poet, short story writer, art critic, and literary critic|1932-03-18T00:00:00Z|true
Q36591|http://www.wikidata.org/entity/Q36591|Vladimir Nabokov|http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Nabokov%201973.jpg|male|Russian Empire|https://en.wikipedia.org/wiki/Vladimir_Nabokov|n81015312|Russian-American novelist, lepidopterist, professor|1899-04-22T00:00:00Z|false
